,location,floor,floors_count,rooms_count,total_meters,year_of_construction,object_type,have_loggia,parking_type,living_meters,kitchen_meters,ceiling_height,street,underground,price_per_square_meter
5915,31,6,27,1,46.3,2016.0,1,2,2,18.2,17.8,2.82,995,1,222462.0
5916,31,5,25,1,47.0,2010.0,1,2,2,23.0,15.0,2.7,1139,1,191489.0
5917,31,10,26,1,38.2,2015.0,1,1,4,17.7,9.7,3.0,715,1,282722.0
5921,31,2,2,1,30.0,1970.0,1,1,2,18.0,7.0,2.7,1066,1,126666.0
5926,31,12,14,1,22.91,2024.0,0,1,3,12.2,3.0,3.0,1418,1,283034.0
5928,31,7,17,1,44.17,2024.0,0,1,3,12.3,22.4,3.0,1418,1,190702.0
5931,31,7,17,1,22.83,2024.0,0,1,3,12.2,3.0,3.0,1418,1,240375.0
5932,31,1,5,1,25.0,1972.0,1,0,2,15.0,8.0,4.0,1418,1,194000.0
5933,31,2,17,1,32.66,2024.0,0,0,3,9.2,16.1,3.0,1418,1,189847.0
5935,31,2,17,1,40.76,2024.0,0,0,3,11.0,21.3,3.0,1418,1,170730.0
5936,31,3,8,1,29.0,2023.0,1,2,1,11.0,18.0,3.0,172,1,172068.0
5939,31,7,18,1,43.0,2017.0,1,2,4,16.0,10.0,3.2,177,1,213953.0
5940,31,7,10,1,30.8,2015.0,1,2,4,14.4,8.1,2.8,177,1,224025.0
5942,31,2,9,1,30.9,2012.0,1,5,2,14.6,8.2,2.7,1039,1,205501.0
5945,31,2,9,1,33.6,2015.0,1,0,2,18.0,7.0,2.8,177,1,190476.0
5949,31,15,18,1,57.1,2019.0,1,6,4,19.0,9.2,3.0,344,1,227670.0
5952,31,4,13,1,35.0,1995.0,1,1,2,15.0,10.0,3.0,1385,1,185714.0
5953,31,2,27,1,41.5,2005.0,1,1,2,17.6,10.5,2.66,995,1,204578.0
5955,31,2,18,1,41.0,2019.0,1,2,2,19.0,10.0,2.8,422,1,150000.0
5956,31,23,28,1,46.5,2017.0,1,2,4,19.0,12.0,2.82,963,1,189247.0
5957,31,7,19,1,45.5,2013.0,1,2,2,18.1,15.6,2.8,431,1,175802.0
5958,31,12,13,1,40.4,2002.0,1,2,0,17.7,10.2,2.7,1385,1,185643.0
5959,31,15,17,1,45.2,2016.0,1,2,2,18.1,13.7,2.7,362,1,154845.0
5961,31,9,17,1,36.0,2017.0,1,2,2,18.0,10.0,3.0,177,1,177777.0
5962,31,11,27,1,41.0,2014.0,1,2,2,19.0,10.0,2.75,1139,1,214634.0
5966,31,11,14,1,42.2,2013.0,1,2,2,19.0,13.0,2.8,3,1,177488.0
5967,31,10,18,1,41.8,2007.0,1,2,0,17.7,10.4,2.8,995,1,238995.0
5968,31,5,12,1,35.9,1980.0,1,0,2,19.5,7.5,2.7,431,1,158774.0
5970,31,5,10,1,36.9,1994.0,1,2,0,19.0,8.1,2.6,232,1,159891.0
5971,31,7,17,1,34.2,2016.0,1,2,0,14.0,9.0,3.2,177,1,187134.0
5972,31,22,25,1,44.0,2016.0,1,2,0,17.7,10.0,2.82,1139,1,225000.0
5973,31,11,18,1,32.6,2017.0,1,2,0,15.4,8.5,2.8,177,1,205521.0
5975,31,12,12,1,35.2,1980.0,1,0,2,15.0,10.0,2.7,431,1,169602.0
5981,31,1,8,1,31.5,2015.0,1,2,0,14.1,8.7,2.7,1346,1,187936.0
5985,31,4,9,1,30.0,2012.0,1,2,4,14.5,8.7,2.8,373,1,203333.0
5991,31,1,8,1,33.0,2013.0,1,0,0,15.3,8.0,2.7,1346,1,186363.0
5995,31,14,17,1,22.2,2024.0,0,0,2,14.2,3.0,3.0,1418,1,277027.0
5997,3,1,4,2,47.2,1983.0,1,2,2,31.4,7.3,2.82,709,0,84724.0
6002,3,2,5,2,45.2,1974.0,1,1,2,28.5,5.9,2.65,573,0,97345.0
6003,3,7,9,2,47.5,1991.0,1,1,2,27.8,7.0,2.7,1024,0,136842.0
6004,3,1,2,2,44.1,1972.0,1,0,2,30.2,5.5,2.5,716,0,79365.0
6005,3,5,5,2,46.4,1973.0,1,1,2,29.2,6.0,2.82,1105,0,127155.0
6008,3,1,10,2,65.0,2019.0,1,6,2,32.0,12.0,2.7,1083,0,100000.0
6010,3,1,5,2,40.7,1974.0,1,0,2,26.7,6.0,2.5,1025,0,103194.0
6012,3,4,5,2,46.2,1978.0,1,1,2,30.0,6.0,2.5,573,0,88744.0
6013,3,1,5,2,43.5,1972.0,1,0,0,30.0,6.0,2.5,1105,0,91954.0
6014,3,1,5,2,53.3,1980.0,1,1,2,28.0,8.6,2.65,573,0,90056.0
6018,3,8,9,2,50.9,2020.0,1,2,2,29.8,8.0,2.8,1083,0,117878.0
6019,3,6,6,2,76.0,2008.0,1,1,2,41.0,20.0,3.0,1025,0,147368.0
6021,3,4,5,2,41.5,1973.0,1,1,0,28.1,6.0,2.82,1112,0,117831.0
6022,3,2,5,2,47.0,1978.0,1,1,0,29.0,6.0,2.5,573,0,91489.0
6023,3,1,3,2,43.6,1982.0,1,2,2,22.9,8.4,2.7,965,0,100917.0
6025,3,3,5,2,54.2,1987.0,1,1,0,33.5,8.1,2.6,573,0,101476.0
6026,3,3,4,2,50.0,1978.0,1,2,2,42.5,7.5,2.4,1174,0,107800.0
6027,3,3,5,2,43.8,1973.0,1,1,2,29.9,6.0,2.5,1024,0,130136.0
6028,3,1,2,1,27.0,1974.0,1,0,2,22.0,2.2,2.5,1253,0,55555.0
6029,3,4,5,4,62.0,1974.0,1,1,0,45.9,5.7,2.5,1105,0,98387.0
6031,3,5,5,4,61.1,1976.0,1,5,2,45.0,5.7,2.55,1105,0,99836.0
6032,3,2,5,4,62.4,1971.0,1,1,2,44.6,6.0,2.82,1225,0,96153.0
6033,3,2,5,4,92.7,1979.0,1,0,2,61.0,16.0,2.7,1230,0,91693.0
6038,3,3,3,1,28.0,1974.0,1,0,0,16.0,5.0,2.5,716,0,71428.0
6039,3,3,4,1,33.7,1979.0,1,2,0,17.2,6.0,2.82,1224,0,96439.0
6040,3,5,5,1,37.0,1984.0,1,1,2,18.0,9.0,2.82,1418,0,81081.0
6041,3,3,4,1,42.5,1997.0,1,1,2,21.2,9.9,2.82,345,0,164705.0
6044,3,1,2,2,40.5,1973.0,1,0,0,27.1,5.7,2.82,1418,0,64197.0
6045,3,3,3,5,154.5,1999.0,1,1,2,94.9,28.1,2.5,891,0,61488.0
6046,3,6,6,3,116.0,2008.0,1,2,2,96.0,20.0,3.0,1025,0,146551.0
6049,3,3,5,2,43.5,1971.0,1,1,0,32.5,6.0,2.5,423,0,85057.0
